keys,ko,en,ja,zh_CN,zh_TW
CYCLE_CHOICE_RIGHT_DESC,하트 1칸을 회복하고 보상을 이어 간다,Restore 1 heart and carry the build onward,ハートを1回復してビルドを継ぐ,恢复1颗心并延续当前构筑,恢復1顆心並延續目前構築
CYCLE_CHOICE_MAP_BEYOND_TITLE,지도 끝을 넘어섰다,BEYOND THE MAP,地図の果てを越えた,已越过地图尽头,已越過地圖盡頭
CYCLE_CHOICE_MAP_BEYOND_SUBTITLE,약속은 지켰다 · 여기부터는 끝없는 밤이다,The promise is kept · the endless night starts here,約束は果たした · ここからは終わりなき夜だ,承诺已兑现 · 无尽之夜从这里开始,承諾已兌現 · 無盡之夜從這裡開始
CYCLE_CHOICE_MAP_BEYOND_LEFT_TITLE,전설로 귀환,RETURN AS LEGEND,伝説として帰還,作为传奇归来,作為傳奇歸來
CYCLE_CHOICE_MAP_BEYOND_LEFT_DESC,여덟 순환의 승리를 기록한다,Record victory across eight waves,八巡の勝利を記録する,记录八轮胜利,記錄八輪勝利
CYCLE_CHOICE_MAP_BEYOND_RIGHT_TITLE,끝없는 밤,ENDLESS NIGHT,終わりなき夜,无尽之夜,無盡之夜
CYCLE_CHOICE_MAP_BEYOND_RIGHT_DESC,지도 밖 난이도와 보상을 계속 쌓는다,Keep stacking danger and rewards off the map,地図外の難度と報酬を積み続ける,继续累积地图外的难度与奖励,繼續累積地圖外的難度與獎勵
OVERCHARGE_STARTED,과충전 · 봉화 곁을 지켜라,Overcharge · defend the beacon,過充電 · 烽火のそばを守れ,过充能 · 守住烽火,過充能 · 守住烽火
OVERCHARGE_SUCCEEDED,과충전 성공 %d/%d · 코어와 성장 획득,Overcharge %d/%d · core and growth gained,過充電成功 %d/%d · コアと成長を獲得,过充能成功 %d/%d · 获得核心和成长,過充能成功 %d/%d · 獲得核心和成長
OVERCHARGE_SUCCEEDED_MAX,과충전 성공 %d/%d · 추가 성장 획득,Overcharge %d/%d · extra growth gained,過充電成功 %d/%d · 追加の成長を獲得,过充能成功 %d/%d · 获得额外成长,過充能成功 %d/%d · 獲得額外成長
OVERCHARGE_FAILED,과충전 해제 · 봉화는 안전하게 켜졌다,Overcharge released · the beacon is safely lit,過充電解除 · 烽火は安全に灯った,过充能解除 · 烽火已安全点燃,過充能解除 · 烽火已安全點燃
HUD_COMBO,%d 연속,%d chain,%d 連続,%d连击,%d連擊
RAID,정령들이 몰려온다,The spirits swarm,精霊が押し寄せる,精灵蜂拥而至,精靈蜂擁而至
RAID_AMBUSH,숲의 매복 · 봉화 쪽이 비었다,Forest ambush · the beacon path is open,森の待ち伏せ · 烽火への道が空いた,森林伏击 · 通往烽火的路空了,森林伏擊 · 通往烽火的路空了
RAID_CROSSFIRE,들판의 교차사격 · 한쪽 술사를 먼저 끊어라,Crossfire · break one caster line,野原の交差射撃 · 片方の術師を先に倒せ,原野交叉火力 · 先击败一侧的术师,原野交叉火力 · 先擊敗一側的術師
RAID_CARAVAN,불씨 호송대 · 정예 운반자를 노려라,Ember caravan · strike the elite carrier,火種の輸送隊 · 精鋭運搬者を狙え,火种护送队 · 攻击精英运送者,火種護送隊 · 攻擊精英運送者
RECLAIMED,되찾았다,Reclaimed,取り戻した,已找回,已找回
RELIC_DROPPED,유물 드롭 · %s · 9초 안에 회수,Dropped %s · reclaim within 9 seconds,遺物落下 · %s · 9秒以内に回収,遗物掉落 · %s · 9秒内找回,遺物掉落 · %s · 9秒內找回
RELIC_RECLAIMED,%s 회수,Reclaimed %s,%s 回収,%s 已找回,%s 已找回
RELIC_LOST,%s 소실,%s was lost,%s 消失,%s 已丢失,%s 已遺失
TUTORIAL_MOVE,화면 아무 곳을 눌러 이동 · 화살표를 따라 봉화로,Touch anywhere to move · follow the arrow,画面のどこでもタッチして移動 · 矢印に沿って烽火へ,触摸任意位置移动 · 跟随箭头前往烽火,觸碰任意位置移動 · 跟隨箭頭前往烽火
TUTORIAL_DASH,오른쪽 버튼으로 대시,Dash with the right button,右のボタンでダッシュ,点击右侧按钮冲刺,點擊右側按鈕衝刺
TUTORIAL_BEACON,봉화 곁에 머무르면 불이 붙습니다 · 셋을 지피면 어둠이 수호자를 보냅니다,Stay beside a beacon to kindle it · light all three and the dark sends its Guardian,烽火のそばに留まると火がつく · 三つ灯すと闇が守護者を送る,在烽火旁停留即可点燃 · 点亮三座后黑暗会派出守护者,在烽火旁停留即可點燃 · 點亮三座後黑暗會派出守護者
TUTORIAL_AUTO_ATTACK,공격은 저절로 나갑니다 · 피하는 데만 집중하세요,You attack automatically · just focus on dodging,攻撃は自動で出ます · 回避だけに集中しよう,攻击会自动发出 · 只需专心闪避,攻擊會自動發出 · 只需專心閃避
TUTORIAL_HEART,부딪히면 하트가 하나 줄어듭니다 · 다 닳으면 어둠이 이깁니다,Each hit costs a heart · lose them all and the dark wins,当たるとハートが一つ減る · 尽きると闇の勝ちだ,被撞到会少一颗心 · 心耗尽黑暗就赢了,被撞到會少一顆心 · 心耗盡黑暗就贏了
TUTORIAL_CORE,떨어진 코어를 주우면 달빛 미사일이 늘어납니다,Pick up dropped cores to gain more moonlight missiles,落ちたコアを拾うと月光ミサイルが増える,拾取掉落的核心可增加月光导弹,拾取掉落的核心可增加月光導彈
COMPASS_BEACON,봉화,BEACON,烽火,烽火,烽火
COMPASS_EXIT,탈출구,ESCAPE,脱出口,出口,出口
COMPASS_GUARDIAN,수호자,GUARDIAN,守護者,守护者,守護者
ZONE_TRAVEL,추격을 뚫고 다음 지형으로,Escaping to the next region,追跡を振り切り次の地域へ,突破追击前往下一区域,突破追擊前往下一區域
ZONE_ENTER,%s 진입,Entering %s,%sに進入,进入%s,進入%s
SCORE_CYCLES,순환 %d바퀴,Cycles %d,巡回数 %d,循环轮数 %d,循環輪數 %d
SCORE_LEVEL,레벨 %d,Level %d,レベル %d,等级 %d,等級 %d
SHRINE_TITLE,달빛 제단,Moonlit Shrine,月光の祭壇,月光祭坛,月光祭壇
SHRINE_OPEN,제단,Shrine,祭壇,祭坛,祭壇
SHRINE_HEROES,영웅,HEROES,英雄,英雄,英雄
SHRINE_BOONS,영구 은혜,PERMANENT BOONS,永続の加護,永久祝福,永久祝福
SHRINE_NEXT_READY,%s 구매 가능,%s is ready,%s 購入可能,%s 可购买,%s 可購買
SHRINE_NEXT_GOAL,%s · 앞으로 %d조각,%s · %d shards to go,%s · あと%d個,%s · 还需%d枚碎片,%s · 還需%d枚碎片
SHRINE_ALL_OWNED,모든 영웅과 은혜를 완성했습니다,Every hero and boon is complete,すべての英雄を解放し、加護を最大まで強化しました,所有英雄与祝福已完成,所有英雄與祝福已完成
SHRINE_NEXT_EFFECT,다음 효과 · %s,Next · %s,次の効果 · %s,下一效果 · %s,下一效果 · %s
SHRINE_PRICE,%d조각,%d shards,%d個,%d枚碎片,%d枚碎片
SHRINE_SHORT,%d조각 부족,Short %d shards,あと%d個,还差%d枚碎片,還差%d枚碎片
SHRINE_OWNED,해금됨,Unlocked,解放済み,已解锁,已解鎖
SHRINE_SELECTED,선택 중,Selected,選択中,已选择,已選擇
SHRINE_SELECT,이 영웅 선택,Select hero,この英雄を選ぶ,选择这位英雄,選擇這位英雄
SHRINE_UNLOCK,영웅 해금,Unlock hero,英雄を解放,解锁英雄,解鎖英雄
HERO_PREVIEW_VIEW,%s 크게 보기,View %s,%s を拡大表示,查看%s大图,查看%s大圖
HERO_PREVIEW_LOCKED,잠김 · %d조각으로 해금,Locked · unlock for %d shards,未解放 · %d個で解放,未解锁 · 使用%d枚碎片解锁,未解鎖 · 使用%d枚碎片解鎖
HERO_PREVIEW_IAP_LOCKED,잠김 · 기기 스토어에서 구매,Locked · purchase in device store,未購入 · 端末ストアで購入,未购买 · 在设备商店购买,未購買 · 在裝置商店購買
SHRINE_BUY,은혜 구매,Buy boon,加護を購入,购买祝福,購買祝福
SHRINE_BOON_BOUGHT,%s %d단계 구매,%s tier %d purchased,%s 第%d段階を購入,已购买%s第%d阶,已購買%s第%d階
SHRINE_HERO_UNLOCKED,%s 해금 완료,%s unlocked,%s 解放完了,%s 已解锁,%s 已解鎖
SHRINE_HERO_SELECTED,%s 선택 완료,%s selected,%s を選択,%s 已选择,%s 已選擇
SHRINE_SAVE_FAILED,저장하지 못했습니다 · 다시 시도하세요,Could not save · try again,保存できません · もう一度お試しください,保存失败 · 请重试,儲存失敗 · 請重試
SHRINE_REFRESHED,상품 정보가 바뀌어 새로 불러왔습니다,Shop changed · refreshed,商品情報が変わったため更新しました,商品信息已变更 · 已刷新,商品資訊已變更 · 已重新整理
SHRINE_INVALID,이 항목은 지금 구매할 수 없습니다,This item is not available,この項目は現在購入できません,此项目目前无法购买,此項目目前無法購買
SHRINE_NEED_MORE,달빛 조각이 %d개 더 필요합니다,Need %d more shards,月光の欠片があと%d個必要です,还需要%d枚月光碎片,還需要%d枚月光碎片
SHARDS,달빛 조각 %d,%d shards,月光の欠片 %d,月光碎片 %d,月光碎片 %d
BOON_MAXED,끝까지 올림,Maxed,最大,已满级,已滿級
BOON_STEADY_HEART_NAME,단단한 심장,Steady Heart,強い心,坚韧之心,堅韌之心
BOON_STEADY_HEART_DESC,시작 하트 +%s칸,Starting hearts +%s,開始時ハート +%s,初始心数 +%s,初始心數 +%s
BOON_KEEN_EDGE_NAME,벼려진 날,Keen Edge,研ぎ澄ました刃,锋锐刀刃,鋒銳刀刃
BOON_KEEN_EDGE_DESC,시작 피해 +%s%%,Starting damage +%s%%,開始時ダメージ +%s%%,初始伤害 +%s%%,初始傷害 +%s%%
BOON_LIGHT_FOOT_NAME,가벼운 발,Light Foot,軽い足取り,轻盈步伐,輕盈步伐
BOON_LIGHT_FOOT_DESC,걷는 속도 +%s,Move speed +%s,移動速度 +%s,移动速度 +%s,移動速度 +%s
BOON_FIRST_GIFT_NAME,첫 선물,First Gift,最初の贈り物,初始赠礼,初始贈禮
BOON_FIRST_GIFT_DESC,생존 유물 %s개를 쥐고 시작,Begin with support relics ×%s,支援遺物を%s個持って開始,携带%s件生存遗物开始,攜帶%s件生存遺物開始
BOON_DEW_SENSE_NAME,이슬 냄새,Dew Sense,露の気配,月露感知,月露感知
BOON_DEW_SENSE_DESC,이슬 확률 +%s%%,Moon Dew chance +%s%%,月露の確率 +%s%%,月露概率 +%s%%,月露機率 +%s%%
BOON_SHARD_SENSE_NAME,조각 감각,Shard Sense,欠片の気配,碎片感知,碎片感知
BOON_SHARD_SENSE_DESC,조각 획득 +%s%%,Shard gain +%s%%,欠片獲得量 +%s%%,碎片获取 +%s%%,碎片獲取 +%s%%
HERO_WARDEN_NAME,달빛 파수꾼,Moonlit Warden,月光の番人,月光守望者,月光守望者
HERO_WARDEN_DESC,하트 5칸 · 고른 성능 · 손에 든 봉화 초에서 베기와 화살을 부름,5 hearts · balanced · calls slash and arrows from the beacon candle,ハート5 · バランス型 · 手にした烽火のろうそくから斬撃と矢を放つ,5颗心 · 均衡型 · 从手中的烽火蜡烛召唤斩击与箭矢,5顆心 · 均衡型 · 從手中的烽火蠟燭召喚斬擊與箭矢
HERO_DANCER_NAME,그림자 무희,Shadow Dancer,影の舞姫,暗影舞者,暗影舞者
HERO_DANCER_DESC,하트 3칸 · 이속 +43.75% · 피해 -10% · 대시 쿨 -40% · 달빛 고리·잰걸음,3 hearts · move +43.75% · dmg -10% · dash CD -40% · Moon Ring/Light Step,ハート3 · 移速 +43.75% · ダメージ -10% · ダッシュCD -40% · 月光の輪・軽快な足さばき,3颗心 · 移速 +43.75% · 伤害 -10% · 冲刺冷却 -40% · 月光环·轻捷步法,3顆心 · 移速 +43.75% · 傷害 -10% · 衝刺冷卻 -40% · 月光環·輕捷步法
HERO_KEEPER_NAME,봉화지기,Beacon Keeper,烽火の守り人,烽火守护者,烽火守護者
HERO_KEEPER_DESC,하트 6칸 · 이속 -15% · 피해 +25% · 대시 쿨 +30% · 달빛 파문·질긴 목숨,6 hearts · move -15% · dmg +25% · dash CD +30% · Moonlit Ripple/Tenacious Life,ハート6 · 移速 -15% · ダメージ +25% · ダッシュCD +30% · 月光の波紋・不屈の命,6颗心 · 移速 -15% · 伤害 +25% · 冲刺冷却 +30% · 月光波纹·坚韧生命,6顆心 · 移速 -15% · 傷害 +25% · 衝刺冷卻 +30% · 月光波紋·堅韌生命
HERO_KNIGHT_NAME,백월 기사,Silver Moon Knight,白月の騎士,白月骑士,白月騎士
HERO_KNIGHT_DESC,하트 5칸 · 이속 -12% · 피해 +8% · 대시 쿨 +25% · 긴 칼날·그림자 장막,5 hearts · move -12% · dmg +8% · dash CD +25% · Long Blade/Shadow Veil,ハート5 · 移速 -12% · ダメージ +8% · ダッシュCD +25% · 長い刃・影の帳,5颗心 · 移速 -12% · 伤害 +8% · 冲刺冷却 +25% · 长刃·暗影帷幕,5顆心 · 移速 -12% · 傷害 +8% · 衝刺冷卻 +25% · 長刃·暗影帷幕
HERO_ECLIPSE_NAME,월식 마도사,Eclipse Mage,月蝕の魔導士,月蚀法师,月蝕法師
HERO_ECLIPSE_DESC,하트 3칸 · 이속 +8% · 피해 +10% · 대시 쿨 -31.75% · 빠른 손·달빛 걸음,3 hearts · move +8% · dmg +10% · dash CD -31.75% · Swift Hand/Moonlit Step,ハート3 · 移速 +8% · ダメージ +10% · ダッシュCD -31.75% · 早業・月影の歩み,3颗心 · 移速 +8% · 伤害 +10% · 冲刺冷却 -31.75% · 快手·月影步,3顆心 · 移速 +8% · 傷害 +10% · 衝刺冷卻 -31.75% · 快手·月影步
HERO_SAGE_NAME,성좌 현자,Constellation Sage,星座の賢者,星座贤者,星座賢者
HERO_SAGE_DESC,하트 4칸 · 이속 -8% · 피해 -16% · 대시 쿨 +15% · 쌍월륜·관통 월륜,4 hearts · move -8% · dmg -16% · dash CD +15% · Twin Moon Discs/Piercing Moon Disc,ハート4 · 移速 -8% · ダメージ -16% · ダッシュCD +15% · 双月輪・貫通月輪,4颗心 · 移速 -8% · 伤害 -16% · 冲刺冷却 +15% · 双月轮·穿透月轮,4顆心 · 移速 -8% · 傷害 -16% · 衝刺冷卻 +15% · 雙月輪·穿透月輪
HERO_SWIPE_HINT,‹ 밀어서 영웅 6명 보기 ›,‹ Swipe to view all 6 heroes ›,‹ スワイプして6人を見る ›,‹ 滑动查看全部6名英雄 ›,‹ 滑動查看全部6名英雄 ›
SCORE_SHARDS,얻은 조각,Shards earned,獲得した欠片,获得碎片,獲得碎片
LADDER_TITLE,순위표,High Scores,ハイスコア,最高分,最高分
LADDER_NEW,기록을 남긴다,New record,記録を残す,留下记录,留下紀錄
LADDER_PENDING,캐릭터 %s · 버전 v%s · 점수 %d,Hero %s · version v%s · score %d,キャラクター %s・バージョン v%s・スコア %d,角色 %s · 版本 v%s · 分数 %d,角色 %s · 版本 v%s · 分數 %d
LADDER_UNKNOWN_HERO,알 수 없음,Unknown,不明,未知,未知
LADDER_NAME,이름,Name,名前,名字,名字
LADDER_SUBMIT,등록,Submit,登録,提交,送出
LADDER_EMPTY,아직 기록이 없다,No records yet,まだ記録がありません,暂无记录,暫無紀錄
LADDER_ANON,이름없음,Nameless,名無し,无名,無名
LADDER_OPEN,순위,Ranks,順位,排名,排名
LADDER_GLOBAL,전역 순위,Global Ranks,世界ランキング,全球排名,全球排名
IAP_TITLE,달빛 상점,Moonlit Store,月光の店,月光商店,月光商店
IAP_OPEN,상점,Store,ストア,商店,商店
IAP_PRINCIPLE,승리 판매 없음 · 캐릭터는 영구 소유,No pay-to-win · heroes are yours to keep,勝利は販売しません · 英雄は永久所有,不出售胜利 · 英雄永久拥有,不販售勝利 · 英雄永久擁有
IAP_SUPPORTER_TITLE,달빛 후원자,Moonlit Supporter,月明かりの支援者,月光支持者,月光贊助者
IAP_SUPPORTER_DESC,개발을 후원하고 크레딧에 순위표 이름과 후원자 표식을 영구히 새깁니다,Support development and add your leaderboard name to the credits,開発を支援しランキング名と支援者印をクレジットに永久表示します,支持开发并在制作名单中永久显示排行榜名称与支持者标记,贊助開發並在製作名單中永久顯示排行榜名稱與贊助者標記
IAP_HERO_BUNDLE_TITLE,영웅 묶음,Hero Bundle,英雄セット,英雄组合包,英雄組合包
IAP_HERO_BUNDLE_DESC,과거 구매를 복원해 그림자 무희와 봉화지기를 다시 엽니다,Restore a past purchase to unlock Dancer and Keeper again,過去の購入を復元して影の舞姫と烽火守を再解放します,恢复历史购买以再次解锁暗影舞者与烽火守护者,恢復歷史購買以再次解鎖暗影舞者與烽火守護者
IAP_LANTERN_TITLE,봉화 색상 꾸러미,Lantern Colors,烽火カラーパック,烽火颜色包,烽火顏色包
IAP_LANTERN_DESC,봉화 불빛 4색을 고릅니다 · 감지 범위와 전투 성능은 변하지 않습니다,Choose four flame colors · no range or combat advantage,烽火の炎を4色から選択 · 範囲や戦闘性能は変わりません,可从4种烽火颜色中选择 · 不改变范围或战斗性能,可從4種烽火顏色中選擇 · 不改變範圍或戰鬥性能
IAP_BUY,구매,Buy,購入,购买,購買
IAP_OWNED,보유 중,Owned,所有済み,已拥有,已擁有
IAP_ALREADY_EARNED,이미 해금,Already unlocked,解放済み,已解锁,已解鎖
IAP_CONNECTING,연결 중,Connecting,接続中,连接中,連線中
IAP_DEVICE_ONLY,기기 스토어 전용,Device store only,端末ストア専用,仅限设备商店,僅限裝置商店
IAP_PRODUCT_UNAVAILABLE,상품 준비 중,Product unavailable,商品準備中,商品尚未就绪,商品尚未就緒
IAP_OPENING_STORE,안전한 기기 결제창을 여는 중입니다,Opening the secure device checkout,安全な端末決済画面を開いています,正在打开安全支付页面,正在開啟安全付款頁面
IAP_RESTORE,구매 복원,Restore purchases,購入を復元,恢复购买,恢復購買
IAP_RESTORING,이 계정의 영구 구매를 확인하고 있습니다,Checking permanent purchases for this account,このアカウントの永久購入を確認しています,正在检查此账号的永久购买,正在檢查此帳號的永久購買
IAP_RETRY,다시 연결,Retry connection,再接続,重新连接,重新連線
IAP_RETRYING,기기 스토어와 상품 정보를 다시 확인하고 있습니다,Reconnecting to the device store and products,端末ストアと商品情報を再確認しています,正在重新连接设备商店并检查商品,正在重新連線裝置商店並檢查商品
IAP_PURCHASED,%s 구매가 저장되었습니다,%s purchase saved,%sの購入を保存しました,%s 购买已保存,%s 購買已儲存
IAP_PENDING,결제가 승인 대기 중입니다 · 완료되면 자동으로 지급합니다,Payment pending · benefit will arrive after approval,決済承認待ち · 完了後に自動付与,付款待处理 · 批准后将自动发放权益,付款待處理 · 核准後將自動發放權益
IAP_CANCELLED,결제를 취소했습니다,Purchase cancelled,購入をキャンセルしました,购买已取消,購買已取消
IAP_FAILED,결제를 완료하지 못했습니다 · 잠시 뒤 다시 시도하세요,Could not complete purchase · please try again,購入を完了できません · 後でもう一度お試しください,无法完成购买 · 请稍后重试,無法完成購買 · 請稍後重試
IAP_VERIFY_RETRY,결제 확인 서버가 잠시 응답하지 않습니다 · 지급하지 않고 안전하게 다시 확인합니다,Purchase verification is temporarily unavailable · no benefit was granted and we will retry safely,購入確認サーバーが一時応答しません · 付与せず安全に再確認します,购买验证服务暂时无响应 · 暂不发放权益并将安全重试,購買驗證服務暫時無回應 · 暫不發放權益並將安全重試
IAP_VERIFY_SUPPORT,구매를 확인하지 못했습니다 · 혜택 미지급 · 스토어 구매 내역을 확인한 뒤 지원팀에 문의해 주세요,Could not verify the purchase · nothing was granted · check your store purchase history and contact support,購入を確認できませんでした · 特典は未付与 · ストアの購入履歴を確認してサポートへご連絡ください,无法验证购买 · 未发放权益 · 请检查商店购买记录并联系支持团队,無法驗證購買 · 未發放權益 · 請檢查商店購買記錄並聯絡支援團隊
IAP_REVOKED,환불된 구매의 영구 혜택을 안전하게 회수했습니다,The refunded purchase benefit has been removed,返金された商品の永久特典を取り消しました,已撤销退款商品的永久权益,已撤銷退款商品的永久權益
IAP_RESTORE_FOUND,영구 구매 %d개를 복원했습니다,Restored %d permanent purchases,永久購入を%d件復元しました,已恢复%d项永久购买,已恢復%d項永久購買
IAP_RESTORE_EMPTY,복원할 새 구매가 없습니다,No new purchases to restore,復元する新しい購入はありません,没有新的购买可恢复,沒有新的購買可恢復
IAP_CONNECTING_LONG,기기 스토어와 상품 정보를 연결하고 있습니다,Connecting to the device store and loading products,端末ストアに接続して商品を読み込んでいます,正在连接设备商店并加载商品,正在連線裝置商店並載入商品
IAP_DEVICE_STORE_NOTE,실제 가격과 구매는 App Store·Google Play에서 확인할 수 있습니다,Prices and purchases are available through the App Store or Google Play,実際の価格と購入はApp Store・Google Playで確認できます,实际价格与购买请在App Store或Google Play中确认,實際價格與購買請在App Store或Google Play中確認
IAP_PRODUCT_LOAD_FAILED,스토어 상품을 불러오지 못했습니다 · 스토어 배포본과 테스트 계정을 확인하세요,Products could not load · check the store build and test account,ストア商品を読み込めません · 配布ビルドとテストアカウントをご確認ください,无法加载商店商品 · 请检查商店版本与测试账号,無法載入商店商品 · 請檢查商店版本與測試帳號
IAP_STORE_READY,가격은 기기 스토어가 현지 통화로 표시합니다,Prices are localized by your device store,価格は端末ストアで現地通貨により表示されます,设备商店将以当地货币显示价格,裝置商店將以當地貨幣顯示價格
IAP_PALETTE_TITLE,봉화 색상,LANTERN COLOR,烽火の色,烽火颜色,烽火顏色
IAP_PALETTE_READY,원하는 색을 선택하세요,Choose any unlocked color,解放済みの色を選んでください,选择任意已解锁颜色,選擇任意已解鎖顏色
IAP_PALETTE_LOCKED,기본 불씨 · 색상 꾸러미로 3색 추가,Ember · three more with Lantern Colors,基本の残り火 · カラーパックで3色追加,默认余烬色 · 颜色包增加3种,預設餘燼色 · 顏色包增加3種
IAP_PALETTE_SELECTED,%s 불빛을 선택했습니다,%s light selected,%s の光を選択しました,已选择%s光芒,已選擇%s光芒
IAP_COLOR_EMBER,불씨,Ember,残り火,余烬,餘燼
IAP_COLOR_MOON,달빛,Moon,月光,月光,月光
IAP_COLOR_VIOLET,보랏빛,Violet,紫,紫罗兰,紫羅蘭
IAP_COLOR_JADE,비취빛,Jade,翡翠,翡翠,翡翠
IAP_NOTICE,캐릭터·색상은 영구 소유이며 구매 복원을 지원합니다 · 이어하기 코인은 쓰면 사라집니다,Heroes and colors are permanent and restorable · continue coins are used up when spent,英雄と色は永久所有で購入の復元に対応 · コンティニューコインは使うとなくなります,英雄与颜色永久拥有并支持恢复购买 · 继续游戏金币使用后消失,英雄與顏色永久擁有並支援恢復購買 · 繼續遊戲金幣使用後消失
HERO_MOTION_ROUND,크게 원을 그리는 부메랑,Wide boomerang arc,大きく回るブーメラン,大幅回旋的回力镖,大幅迴旋的回力鏢
HERO_MOTION_WEAVE,좌우로 감기는 쌍호,Twin arcs that weave,左右に絡む双弧,左右交织的双弧,左右交織的雙弧
HERO_MOTION_HEAVY,흔들림 없는 묵직한 직진,Heavy and steady,ぶれない重い直進,厚重笔直推进,厚重筆直推進
HERO_MOTION_STRAIGHT,권총처럼 곧게 뻗는 직선,Straight like a pistol,拳銃のような直線,像手枪一样笔直,像手槍一樣筆直
HERO_MOTION_ORBIT,한쪽으로 감기는 궤도,Orbit that curls,片側へ巻く軌道,向一侧卷曲的轨道,向一側捲曲的軌道
HERO_MOTION_STEP,툭툭 꺾이는 각진 계단,Sharp zigzag steps,カクカク折れる階段,棱角分明的折线,稜角分明的折線
RESULT_CONTINUE,이어하기,Continue,コンティニュー,继续游戏,繼續遊戲
RESULT_CONTINUE_COINS,이어하기 (코인 %d),Continue (%d coins),コンティニュー (コイン %d),继续游戏（金币 %d）,繼續遊戲（金幣 %d）
RESULT_CONTINUE_BUY,판 끝내고 상점으로,End run & open Store,ランを終了してストアへ,结束本局并前往商店,結束本局並前往商店
CONTINUE_RESUMED,다시 일어섰다,Back on your feet,再び立ち上がった,重新站起来了,重新站起來了
IAP_CONTINUE_TITLE,이어하기 코인,Continue Coin,コンティニューコイン,继续游戏金币,繼續遊戲金幣
IAP_CONTINUE_DESC,코인 한 개 · 쓰러진 자리에서 이어간다,One coin · resume where you fell,コイン1枚 · 倒れた場所から再開,金币一枚 · 在倒下之处继续,金幣一枚 · 在倒下之處繼續
IAP_CONTINUE_5_TITLE,이어하기 코인 5개,Continue Coins ×5,コンティニューコイン 5個,继续游戏金币 5 个,繼續遊戲金幣 5 個
IAP_CONTINUE_5_DESC,코인 다섯 개 묶음 · 개당 값이 내려간다,Five coins in one · lower price each,コイン5枚セット · 1枚あたりが安い,五枚金币一组 · 单价更低,五枚金幣一組 · 單價更低
IAP_CONTINUE_10_TITLE,이어하기 코인 10개,Continue Coins ×10,コンティニューコイン 10個,继续游戏金币 10 个,繼續遊戲金幣 10 個
IAP_CONTINUE_10_DESC,코인 열 개 묶음 · 개당 값이 가장 싸다,Ten coins in one · best price each,コイン10枚セット · 1枚あたり最安,十枚金币一组 · 单价最低,十枚金幣一組 · 單價最低
IAP_COIN_BALANCE,이어하기 코인 %d개 보유,Continue coins: %d,コンティニューコイン %d個,继续游戏金币 %d 个,繼續遊戲金幣 %d 個
VOICE_BEACON_FIRST_1,하나. 여기는 어둠이 못 넘는다,One. The dark stops here,一つ。ここは闇が越えられない,第一座。黑暗过不来了,第一座。黑暗過不來了
VOICE_BEACON_FIRST_2,불이 붙었다. 어둠이 한 걸음 물러난다,It caught. The dark steps back,火がついた。闇が一歩下がる,点着了。黑暗退了一步,點著了。黑暗退了一步
VOICE_BEACON_MID_1,둘. 아직 한쪽이 열려 있다,Two. One side is still open,二つ。まだ片側が開いている,第二座。还有一边是敞的,第二座。還有一邊是敞的
VOICE_BEACON_MID_2,조금만 더. 손이 아직 밝다,A little more. My hands still glow,もう少し。手はまだ明るい,再一点。手还亮着,再一點。手還亮著
VOICE_BEACON_LAST_1,셋. 선이 그어졌다,Three. The line is drawn,三つ。線が引かれた,第三座。界线画好了,第三座。界線畫好了
VOICE_BEACON_LAST_2,경계가 닫혔다. 숨 쉴 수 있다,The border is closed. I can breathe,境界が閉じた。息ができる,界线合上了。可以喘口气,界線合上了。可以喘口氣
VOICE_SWARM_1,빛에 끌려온 것들이다,They came for the light,光に引かれて来たものたちだ,是被光引来的,是被光引來的
VOICE_SWARM_2,어둠이 뱉어냈다. 곧 더 온다,The dark spat them out. More are coming,闇が吐き出した。すぐもっと来る,黑暗吐出来的。马上还有,黑暗吐出來的。馬上還有
VOICE_SWARM_3,베어도 줄지 않는다. 밀어내야 한다,Cutting won't thin them. Push instead,斬っても減らない。押し返すんだ,砍不完的。得推回去,砍不完的。得推回去
VOICE_GUARDIAN_1,삼킨 빛이 뭉쳐 저 꼴이 됐구나,The swallowed light clotted into that,飲み込んだ光が固まってあの姿か,吞下的光凝成了那副模样,吞下的光凝成了那副模樣
VOICE_GUARDIAN_2,빛날수록 크다. 조심하자,The brighter it shines the bigger it is. Careful,光るほど大きい。気をつけよう,越亮越大。小心,越亮越大。小心
VOICE_GUARDIAN_DOWN_1,삼킨 빛을 돌려받았다,I took the light back,飲まれた光を取り返した,吞下的光要回来了,吞下的光要回來了
VOICE_GUARDIAN_DOWN_2,이 자리는 이제 조용하다,This ground is quiet now,この場所はもう静かだ,这块地方安静了,這塊地方安靜了
VOICE_LOW_1,아직… 불씨가 남았어,Still… the flame holds,まだ…火は残ってる,还…火还没灭,還…火還沒滅
VOICE_LOW_2,여기서 꺼지면 이 땅은 어둠이 된다,If I go out here this land goes dark,ここで消えればこの土地は闇になる,我熄灭之时这片地就归黑暗,我熄滅之時這片地就歸黑暗
VOICE_MOONFIRE_1,보인다. 길이 보여,I see it. The path,見える。道が見える,看见了。路,看見了。路
VOICE_MOONFIRE_2,봉화 초가 답한다,The beacon candle answers,烽火の蝋燭が応える,烽火之烛回应了,烽火之燭回應了
VOICE_CYCLE_1,다음 봉우리로. 어둠이 더 깊다,Next ridge. The dark runs deeper,次の峰へ。闇が深い,去下一座山。黑暗更深,去下一座山。黑暗更深
